Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20250901235300,1,0,0,1,9,0.3,78.7,1.3,0.0
20250901235330,1,0,0,1,9,0.3,69.8,1.2,0.0
20250901235400,1,0,0,1,9,1.2,70.8,1.7,0.0
20250901235430,1,0,0,1,9,0.2,69.3,0.7,0.0
20250901235600,1,0,0,1,9,0.2,77.8,1.0,0.0
20250901235630,1,0,0,1,9,0.8,71.8,1.7,0.0
20250901235500,1,0,0,1,9,0.5,74.5,1.3,0.0
20250901235530,1,0,0,1,9,0.2,72.3,1.0,0.0
20250901235700,1,0,0,1,9,0.3,70.3,1.0,0.0
20250901235730,1,0,0,1,9,0.2,72.2,0.8,0.0
20250901235800,1,0,0,1,9,0.3,69.8,0.7,0.0
20250901235830,1,0,0,1,9,0.7,68.3,1.2,0.0
20250901235900,1,0,0,1,9,0.0,71.8,0.3,0.0
20250901235930,1,0,0,1,9,0.3,74.8,1.2,0.0
20250902000500,1,0,0,1,9,0.3,71.3,1.2,0.0
20250902000530,1,0,0,1,9,0.0,71.3,0.5,0.0
20250902000600,1,0,0,1,9,0.3,67.2,1.0,0.0
20250902000630,1,0,0,1,9,0.2,69.0,0.7,0.0
20250902000800,1,0,0,1,9,0.2,77.5,0.8,0.0
20250902000830,1,0,0,1,9,0.3,72.2,1.0,0.0
20250902000900,1,0,0,1,9,0.7,72.2,1.2,0.0
20250902000930,1,0,0,1,9,0.8,65.7,1.3,0.0
20250902001200,1,0,0,1,9,0.3,68.8,0.8,0.0
20250902001230,1,0,0,1,9,0.5,68.3,0.5,0.0
20250902001000,1,0,0,1,9,0.3,67.5,0.7,0.0
20250902001030,1,0,0,1,9,0.3,73.7,0.7,0.0
20250902001400,1,0,0,1,9,0.2,70.8,0.8,0.0
20250902001430,1,0,0,1,9,0.7,67.5,1.0,0.0
20250902001500,1,0,0,1,9,0.3,71.7,1.2,0.0
20250902001530,1,0,0,1,9,0.7,76.0,1.7,0.0
20250902001600,1,0,0,1,9,1.2,69.3,0.7,0.0
20250902001630,1,0,0,1,9,0.3,71.7,0.5,0.0
20250902001900,1,0,0,1,9,0.2,68.7,0.8,0.0
20250902001930,1,0,0,1,9,0.2,71.7,1.2,0.0
20250902002000,1,0,0,1,9,0.3,70.0,1.0,0.0
20250902002030,1,0,0,1,9,0.2,72.0,1.0,0.0
20250902002400,1,0,0,1,9,0.2,66.0,0.2,0.0
20250902002430,1,0,0,1,9,0.0,74.8,0.3,0.0
20250902002500,1,0,0,1,9,0.5,67.8,1.3,0.0
20250902002530,1,0,0,1,9,1.0,70.8,1.2,0.0
20250902002600,1,0,0,1,9,0.5,69.3,1.3,0.0
20250902002630,1,0,0,1,9,0.5,68.7,1.3,0.0
20250902002800,1,0,0,1,9,0.5,74.0,0.8,0.0
20250902002830,1,0,0,1,9,0.0,75.8,0.2,0.0
20250902002900,1,0,0,1,9,0.0,73.5,0.3,0.0
20250902002930,1,0,0,1,9,0.2,73.7,0.7,0.0
20250902003000,1,0,0,1,9,0.0,74.3,0.5,0.0
20250902003030,1,0,0,1,9,0.3,71.5,0.5,0.0
20250902003500,1,0,0,1,9,0.2,70.8,0.7,0.0
20250902003530,1,0,0,1,9,0.5,67.2,1.5,0.0
20250902003600,1,0,0,1,9,0.3,71.0,0.8,0.0
20250902003630,1,0,0,1,9,0.7,74.8,1.3,0.0
20250902004000,1,0,0,1,9,0.2,71.7,1.2,0.0
20250902004030,1,0,0,1,9,0.2,72.5,0.7,0.0
20250902004200,1,0,0,1,9,0.0,72.0,0.7,0.0
20250902004230,1,0,0,1,9,0.0,74.2,0.5,0.0
20250902004500,1,0,0,1,9,0.3,67.8,1.0,0.0
20250902004530,1,0,0,1,9,0.5,69.8,1.3,0.0
20250902004600,1,0,0,1,9,0.2,67.0,1.2,0.0
20250902004630,1,0,0,1,9,0.0,70.3,0.2,0.0
20250902005000,1,0,0,1,9,0.3,71.3,1.2,0.0
20250902005030,1,0,0,1,9,0.0,73.7,1.0,0.0
20250902004900,1,0,0,1,9,0.5,68.5,0.8,0.0
20250902004930,1,0,0,1,9,0.3,71.0,0.8,0.0
20250902005200,1,0,0,1,9,0.0,71.0,0.5,0.0
20250902005230,1,0,0,1,9,0.7,70.8,1.5,0.0
20250902005400,1,0,0,1,9,0.7,73.7,0.8,0.0
20250902010000,1,0,0,1,9,0.2,70.2,0.5,0.0
20250902010030,1,0,0,1,9,0.3,66.5,0.8,0.0
20250902010200,1,0,0,1,9,0.2,71.3,1.2,0.0
20250902010230,1,0,0,1,9,0.2,70.2,1.0,0.0
20250902010300,1,0,0,1,9,0.0,70.0,0.0,0.0
20250902010330,1,0,0,1,9,0.5,68.8,1.0,0.0
20250902010400,1,0,0,1,9,0.3,69.2,0.8,0.0
20250902010430,1,0,0,1,9,0.2,71.7,0.7,0.0
20250902010500,1,0,0,1,9,0.0,70.0,0.5,0.0
20250902010530,1,0,0,1,9,0.0,62.7,0.5,0.0
20250902010800,1,0,0,1,9,0.2,70.7,0.5,0.0
20250902010830,1,0,0,1,9,0.8,66.5,0.8,0.0
20250902011000,1,0,0,1,9,0.5,70.2,1.0,0.0
20250902011030,1,0,0,1,9,0.5,76.8,0.5,0.0
20250902011200,1,0,0,1,9,0.3,75.0,0.7,0.0
20250902011230,1,0,0,1,9,0.3,73.7,0.8,0.0
20250902011300,1,0,0,1,9,0.0,69.7,0.2,0.0
20250902011330,1,0,0,1,9,0.7,74.0,1.5,0.0
20250902011500,1,0,0,1,9,0.3,66.8,0.5,0.0
20250902011530,1,0,0,1,9,0.2,67.8,0.7,0.0
20250902011800,1,0,0,1,9,0.2,71.0,1.0,0.0
20250902011830,1,0,0,1,9,0.3,68.7,0.5,0.0
20250902011900,1,0,0,1,9,0.3,71.0,1.0,0.0
20250902011930,1,0,0,1,9,0.2,66.0,0.8,0.0
20250902012000,1,0,0,1,9,0.0,71.7,0.2,0.0
20250902012030,1,0,0,1,9,0.2,78.3,0.7,0.0
20250902012200,1,0,0,1,9,0.5,68.5,1.0,0.0
20250902012230,1,0,0,1,9,0.2,69.2,0.5,0.0
20250902012500,1,0,0,1,9,0.2,67.5,0.5,0.0
20250902012530,1,0,0,1,9,0.3,68.0,0.8,0.0
20250902012600,1,0,0,1,9,0.3,73.3,0.8,0.0
20250902012630,1,0,0,1,9,0.0,70.2,0.3,0.0
20250902012800,1,0,0,1,9,0.0,72.8,0.2,0.0
20250902012830,1,0,0,1,9,0.3,69.5,1.2,0.0
20250902013000,1,0,0,1,9,0.0,74.7,0.3,0.0
