Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,4.0,93.7,6.3,0.0
20260419172130,0,0,1,0,4,3.7,99.0,7.0,0.0
20260419172600,0,0,1,0,4,5.3,95.0,8.7,0.0
20260419172630,0,0,1,0,4,2.3,99.0,4.7,0.0
20260419173000,0,0,1,0,4,3.7,100.0,7.0,0.0
20260419173030,0,0,1,0,4,4.0,93.7,8.0,0.0
20260419173600,0,0,1,0,4,6.3,88.7,10.7,0.0
20260419173630,0,0,1,0,4,4.0,93.3,6.7,0.0
20260419174100,0,0,1,0,4,7.0,92.3,9.7,0.0
20260419174130,0,0,1,0,4,1.3,97.3,3.7,0.0
20260419174600,0,0,1,0,4,2.3,97.0,4.0,0.0
20260419174630,0,0,1,0,4,2.3,104.0,6.0,0.0
20260419175200,0,0,1,0,4,1.7,99.0,4.3,0.0
20260419175230,0,0,1,0,4,4.3,94.3,7.3,0.0
20260419175600,0,0,1,0,4,3.0,102.3,6.0,0.0
20260419175630,0,0,1,0,4,2.7,105.7,6.7,0.0
20260419180200,0,0,1,0,4,2.0,105.3,5.3,0.0
20260419180230,0,0,1,0,4,3.7,97.0,7.0,0.0
20260419180600,0,0,1,0,4,5.3,94.3,8.7,0.0
20260419180630,0,0,1,0,4,3.3,95.7,6.3,0.0
20260419181200,0,0,1,0,4,2.7,93.0,6.3,0.0
20260419181230,0,0,1,0,4,2.0,101.3,4.3,0.0
20260419181500,0,0,1,0,4,1.7,98.7,4.7,0.0
20260419181530,0,0,1,0,4,2.7,96.0,5.3,0.0
20260419182100,0,0,1,0,4,5.3,87.3,8.3,0.0
20260419182130,0,0,1,0,4,1.7,98.7,3.7,0.0
20260419182600,0,0,1,0,4,3.7,89.0,6.7,0.0
20260419182630,0,0,1,0,4,4.7,89.7,8.7,0.0
20260419183000,0,0,1,0,4,1.0,101.0,3.0,0.0
20260419183030,0,0,1,0,4,1.7,95.0,3.7,0.0
20260419183500,0,0,1,0,4,4.0,90.7,7.0,0.0
20260419183530,0,0,1,0,4,1.3,103.0,3.0,0.0
20260419184200,0,0,1,0,4,3.0,95.7,5.3,0.0
20260419184230,0,0,1,0,4,1.7,100.3,3.0,0.0
20260419184600,0,0,1,0,4,2.0,97.0,3.7,0.0
20260419184630,0,0,1,0,4,2.0,98.0,5.0,0.0
20260419184900,0,0,1,0,4,4.3,88.3,6.0,0.0
20260419184930,0,0,1,0,4,4.3,87.0,6.0,0.0
