Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,4.2,79.5,5.0,0.0
20260419172130,0,0,1,0,4,5.0,103.5,4.8,0.0
20260419172600,0,0,1,0,4,5.2,86.0,4.2,0.0
20260419172630,0,0,1,0,4,3.8,77.2,4.5,0.0
20260419173000,0,0,1,0,4,4.0,83.8,4.5,0.01
20260419173030,0,0,1,0,4,3.0,78.2,4.0,0.01
20260419173600,0,0,1,0,4,4.0,89.2,3.8,0.01
20260419173630,0,0,1,0,4,3.2,91.5,3.8,0.01
20260419174100,0,0,1,0,4,3.5,81.2,3.2,0.0
20260419174130,0,0,1,0,4,5.2,88.5,6.0,0.0
20260419174600,0,0,1,0,4,5.0,85.5,3.8,0.0
20260419174630,0,0,1,0,4,3.2,88.0,3.8,0.0
20260419175200,0,0,1,0,4,6.0,82.8,6.5,0.0
20260419175230,0,0,1,0,4,5.0,83.2,4.8,0.0
20260419175600,0,0,1,0,4,3.5,82.2,3.2,0.0
20260419175630,0,0,1,0,4,4.2,96.8,5.0,0.0
20260419180200,0,0,1,0,4,4.0,94.0,4.0,0.0
20260419180230,0,0,1,0,4,1.0,83.8,1.8,0.0
20260419180600,0,0,1,0,4,3.8,79.2,3.5,0.0
20260419180630,0,0,1,0,4,2.8,81.2,2.8,0.0
20260419181200,0,0,1,0,4,3.2,80.8,3.5,0.0
20260419181230,0,0,1,0,4,4.5,80.2,4.2,0.0
20260419181500,0,0,1,0,4,3.0,85.5,3.0,0.01
20260419181530,0,0,1,0,4,6.0,81.8,6.0,0.01
20260419182100,0,0,1,0,4,4.5,87.0,4.8,0.01
20260419182130,0,0,1,0,4,6.2,86.0,7.5,0.01
20260419182600,0,0,1,0,4,1.8,84.5,2.0,0.01
20260419182630,0,0,1,0,4,5.0,85.2,5.0,0.01
20260419183000,0,0,1,0,4,6.5,86.2,6.2,0.0
20260419183030,0,0,1,0,4,2.0,86.5,2.8,0.0
20260419183500,0,0,1,0,4,2.5,76.2,2.5,0.0
20260419183530,0,0,1,0,4,4.0,79.2,3.8,0.0
20260419184200,0,0,1,0,4,3.2,76.5,2.5,0.0
20260419184230,0,0,1,0,4,3.0,101.8,4.2,0.0
20260419184600,0,0,1,0,4,1.2,83.0,1.8,0.0
20260419184630,0,0,1,0,4,2.5,85.0,3.5,0.0
20260419184900,0,0,1,0,4,3.8,98.5,3.8,0.0
20260419184930,0,0,1,0,4,3.0,89.5,3.8,0.0
