Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,10.0,76.5,8.5,0.0
20260419172130,0,0,1,0,4,10.5,78.0,8.0,0.0
20260419172600,0,0,1,0,4,6.5,87.5,5.5,0.0
20260419172630,0,0,1,0,4,13.5,67.5,7.5,0.0
20260419173000,0,0,1,0,4,9.0,50.0,6.5,0.0
20260419173030,0,0,1,0,4,8.0,76.0,8.0,0.0
20260419173600,0,0,1,0,4,7.5,64.5,8.0,0.0
20260419173630,0,0,1,0,4,15.0,72.0,11.5,0.0
20260419174100,0,0,1,0,4,19.5,62.5,11.5,0.0
20260419174130,0,0,1,0,4,13.5,114.5,8.0,0.0
20260419174600,0,0,1,0,4,12.5,101.5,10.5,0.0
20260419174630,0,0,1,0,4,9.5,83.0,8.0,0.0
20260419175200,0,0,1,0,4,11.0,75.5,9.0,0.0
20260419175230,0,0,1,0,4,12.5,66.5,9.0,0.0
20260419175600,0,0,1,0,4,12.5,69.0,7.5,0.0
20260419175630,0,0,1,0,4,8.5,111.0,7.0,0.0
20260419180200,0,0,1,0,4,13.0,69.0,9.5,0.0
20260419180230,0,0,1,0,4,16.5,67.5,9.0,0.0
20260419180600,0,0,1,0,4,12.0,71.0,10.0,0.0
20260419180630,0,0,1,0,4,7.5,77.0,6.0,0.0
20260419181200,0,0,1,0,4,16.5,70.5,10.5,0.0
20260419181230,0,0,1,0,4,10.0,104.0,7.5,0.0
20260419181500,0,0,1,0,4,15.0,71.5,12.5,0.0
20260419181530,0,0,1,0,4,19.0,55.5,11.0,0.0
20260419182100,0,0,1,0,4,10.0,90.0,6.5,0.0
20260419182130,0,0,1,0,4,18.0,70.0,11.5,0.0
20260419182600,0,0,1,0,4,11.0,69.0,9.0,0.0
20260419182630,0,0,1,0,4,8.0,71.5,7.0,0.0
20260419183000,0,0,1,0,4,15.0,65.5,10.5,0.0
20260419183030,0,0,1,0,4,9.0,71.0,6.0,0.0
20260419183500,0,0,1,0,4,7.5,66.5,7.0,0.0
20260419183530,0,0,1,0,4,11.0,65.5,7.5,0.0
20260419184200,0,0,1,0,4,13.5,81.5,7.0,0.0
20260419184230,0,0,1,0,4,10.5,71.0,7.0,0.0
20260419184600,0,0,1,0,4,18.5,74.5,12.0,0.0
20260419184630,0,0,1,0,4,11.5,65.5,8.5,0.0
20260419184900,0,0,1,0,4,12.0,63.0,8.5,0.0
20260419184930,0,0,1,0,4,8.0,114.0,7.5,0.0
