Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,2.0,63.0,1.5,0.0
20260419172130,0,0,1,0,4,5.5,48.0,2.5,0.0
20260419172600,0,0,1,0,4,4.5,53.0,1.5,0.0
20260419172630,0,0,1,0,4,25.5,48.0,7.5,0.0
20260419173000,0,0,1,0,4,11.0,45.0,4.0,0.0
20260419173030,0,0,1,0,4,3.5,59.0,1.5,0.0
20260419173600,0,0,1,0,4,1.0,60.5,0.5,0.0
20260419173630,0,0,1,0,4,13.0,49.5,6.5,0.0
20260419174100,0,0,1,0,4,2.5,58.5,1.0,0.0
20260419174130,0,0,1,0,4,25.5,43.5,9.5,0.0
20260419174600,0,0,1,0,4,0.5,86.5,0.5,0.0
20260419174630,0,0,1,0,4,23.0,49.0,8.5,0.0
20260419175200,0,0,1,0,4,3.5,57.5,1.5,0.0
20260419175230,0,0,1,0,4,2.5,64.5,1.5,0.0
20260419175600,0,0,1,0,4,5.5,60.5,2.0,0.0
20260419175630,0,0,1,0,4,11.5,43.5,3.5,0.0
20260419180200,0,0,1,0,4,1.0,67.5,0.5,0.0
20260419180230,0,0,1,0,4,2.0,58.0,1.0,0.0
20260419180600,0,0,1,0,4,2.5,47.0,1.5,0.0
20260419180630,0,0,1,0,4,23.5,40.5,9.5,0.0
20260419181200,0,0,1,0,4,1.5,56.5,1.0,0.0
20260419181230,0,0,1,0,4,1.0,77.5,1.0,0.0
20260419181500,0,0,1,0,4,4.5,43.5,2.5,0.0
20260419181530,0,0,1,0,4,2.0,61.5,1.0,0.0
20260419182100,0,0,1,0,4,1.5,65.5,1.0,0.0
20260419182130,0,0,1,0,4,17.0,49.5,7.5,0.0
20260419182600,0,0,1,0,4,0.5,60.0,0.5,0.0
20260419182630,0,0,1,0,4,21.5,44.0,8.5,0.0
20260419183000,0,0,1,0,4,3.5,55.5,2.0,0.0
20260419183030,0,0,1,0,4,2.5,72.0,1.5,0.0
20260419183500,0,0,1,0,4,23.5,40.5,8.0,0.0
20260419183530,0,0,1,0,4,2.5,47.0,1.0,0.0
20260419184200,0,0,1,0,4,4.5,60.5,2.0,0.0
20260419184230,0,0,1,0,4,1.5,62.0,1.5,0.0
20260419184600,0,0,1,0,4,2.0,63.5,1.0,0.0
20260419184630,0,0,1,0,4,26.0,46.5,10.0,0.0
20260419184900,0,0,1,0,4,1.5,65.0,1.0,0.0
20260419184930,0,0,1,0,4,6.0,48.5,3.5,0.0
