Date,IsWeekDay,IsHoliday,IsPeakHour,IsOvernight,Month,Occupancy,Speed,Volumn,Rainfall
20260419172100,0,0,1,0,4,7.7,50.7,3.7,0.0
20260419172130,0,0,1,0,4,5.3,48.3,2.7,0.0
20260419172600,0,0,1,0,4,8.3,42.0,4.3,0.0
20260419172630,0,0,1,0,4,2.7,46.0,1.7,0.0
20260419173000,0,0,1,0,4,0.3,63.7,0.3,0.0
20260419173030,0,0,1,0,4,3.0,63.3,2.0,0.0
20260419173600,0,0,1,0,4,9.0,45.0,4.7,0.0
20260419173630,0,0,1,0,4,5.7,33.0,2.0,0.0
20260419174100,0,0,1,0,4,4.7,50.7,2.0,0.0
20260419174130,0,0,1,0,4,6.0,48.3,2.7,0.0
20260419174600,0,0,1,0,4,5.3,53.7,3.3,0.0
20260419174630,0,0,1,0,4,7.3,44.3,3.7,0.0
20260419175200,0,0,1,0,4,3.3,62.3,2.0,0.0
20260419175230,0,0,1,0,4,6.0,51.7,2.7,0.0
20260419175600,0,0,1,0,4,5.3,54.0,3.3,0.0
20260419175630,0,0,1,0,4,4.0,48.3,2.0,0.0
20260419180200,0,0,1,0,4,2.7,61.0,1.7,0.0
20260419180230,0,0,1,0,4,3.3,53.3,2.0,0.0
20260419180600,0,0,1,0,4,6.7,50.7,3.3,0.0
20260419180630,0,0,1,0,4,6.7,47.0,4.0,0.0
20260419181200,0,0,1,0,4,2.0,59.7,1.0,0.0
20260419181230,0,0,1,0,4,5.3,53.7,2.7,0.0
20260419181500,0,0,1,0,4,5.7,60.7,3.0,0.0
20260419181530,0,0,1,0,4,5.0,60.3,2.7,0.0
20260419182100,0,0,1,0,4,7.3,51.3,3.7,0.0
20260419182130,0,0,1,0,4,2.3,61.0,1.0,0.0
20260419182600,0,0,1,0,4,3.0,51.7,1.7,0.0
20260419182630,0,0,1,0,4,4.3,59.7,2.0,0.0
20260419183000,0,0,1,0,4,2.3,55.7,1.3,0.0
20260419183030,0,0,1,0,4,2.0,62.7,1.3,0.0
20260419183500,0,0,1,0,4,0.7,60.7,0.7,0.0
20260419183530,0,0,1,0,4,3.3,59.3,1.7,0.0
20260419184200,0,0,1,0,4,3.0,59.0,1.3,0.0
20260419184230,0,0,1,0,4,2.3,49.7,1.7,0.0
20260419184600,0,0,1,0,4,5.7,44.3,3.3,0.0
20260419184630,0,0,1,0,4,6.0,52.7,3.0,0.0
20260419184900,0,0,1,0,4,1.0,63.7,0.7,0.0
20260419184930,0,0,1,0,4,5.0,43.0,3.0,0.0
